champion,skinName,releaseDate,price
Aatrox,Blood Moon,2019-01-10,1350
Aatrox,DRX,2023-06-01,1350
Aatrox,Justicar,2013-06-12,975
Aatrox,Lunar Eclipse,2022-04-28,1350
Aatrox,Mecha,2014-07-23,1350
Aatrox,Odyssey,2020-10-15,1350
Aatrox,Original,2013-06-12,880
Aatrox,Sea Hunter,2015-07-22,750
Ahri,Academy,2015-08-26,750
Ahri,Arcade,2016-08-24,1350
Ahri,Arcana,2022-04-14,1350
Ahri,Challenger,2015-01-15,975
Ahri,Coven,2021-08-12,1350
Ahri,Dynasty,2011-12-14,975
Ahri,Elderwood,2019-08-29,1350
Ahri,Foxfire,2012-07-11,975
Ahri,KDA,2018-11-03,1350
Ahri,KDA ALL OUT,2020-10-29,1350
Ahri,Midnight,2011-12-14,750
Ahri,Original,2011-12-14,880
Ahri,Popstar,2013-11-25,975
Ahri,Snow Moon,2023-05-18,1350
Ahri,Spirit Blossom,2020-08-06,1820
Ahri,Star Guardian,2017-09-06,1820
Akali,All-star,2010-06-24,975
Akali,Blood Moon,2011-06-07,975
Akali,Crime City Nightmare,2021-08-26,1350
Akali,DRX,2023-06-01,1350
Akali,Headhunter,2015-03-23,1350
Akali,Infernal,2010-05-11,520
Akali,KDA,2018-11-03,1350
Akali,KDA ALL OUT,2020-10-29,1350
Akali,Nurse,2011-01-04,975
Akali,Original,2010-05-11,790
Akali,PROJECT,2019-08-01,1350
Akali,Sashimi,2016-09-07,750
Akali,Silverfang,2011-11-29,975
Akali,Star Guardian,2022-07-28,1820
Akali,Stinger,2010-05-11,520
Akali,True Damage,2019-11-10,1350
Akshan,Crystal Rose,2022-02-10,1350
Akshan,Cyber Pop,2021-07-22,1350
Akshan,Original,2021-07-22,975
Alistar,Blackfrost,2020-03-05,1350
Alistar,Conqueror,2019-04-30,975
Alistar,Golden,2010-01-13,390
Alistar,Infernal,2012-07-13,975
Alistar,Longhorn,2011-02-16,520
Alistar,Lunar Beast,2021-02-04,1350
Alistar,Marauder,2015-09-30,750
Alistar,Matador,2010-05-11,975
Alistar,Moo Cow,2017-03-29,975
Alistar,Original,2009-02-21,585
Alistar,SKT T1,2016-08-17,975
Alistar,Sweeper,2014-06-18,750
Amumu,Almost-Prom King,2011-02-07,520
Amumu,Emumu,2010-08-01,520
Amumu,Heartache,2023-02-10,1350
Amumu,Infernal,2018-10-16,1350
Amumu,Little Knight,2011-07-18,750
Amumu,Original,2009-06-25,260
Amumu,Pharaoh,2010-02-02,520
Amumu,Porcelain,2022-01-26,1350
Amumu,Pumpkin Prince,2020-10-22,1350
Amumu,Re-Gifted,2010-12-14,520
Amumu,Sad Robot,2012-05-28,1350
Amumu,Surprise Party,2015-03-31,1350
Amumu,Vancouver,2010-02-12,520
Anivia,Bewitching Batnivia,2022-10-20,1350
Anivia,Bird of Prey,2010-05-02,520
Anivia,Blackfrost,2013-04-29,1820
